carat,depth,table,price
1.01,62.1,58,6587
1.07,60.7,57,6587
1.29,61.6,57,6588
1.29,62.9,59,6588
1.2,61.9,54,6588
1.2,59.5,58,6588
1.29,61.6,57,6588
1.04,62.5,57,6589
1.04,60.1,59,6589
1.11,63,56,6589
1.02,62.6,56,6591
1.09,59.7,58,6592
2.01,58.1,63,6592
1.11,62.2,55,6593
1.11,60.8,58,6593
1.28,62,62,6595
1.06,63.4,57,6595
1.51,66.2,54,6596
1.36,62.8,53,6597
1.02,62.3,57,6597
2.1,67.4,59,6597
2.1,64.6,58,6597
1.26,61.8,54,6597
1.26,62.6,57,6597
1.02,63.3,59,6597
1.02,62.7,54,6597
1.53,60.6,63,6597
1.02,61.3,58,6597
1.01,60,63,6598
1,61.6,57,6600
1,62.7,59,6600
1,62.8,60,6600
1,60,60,6600
1,61.5,58,6600
1,62.8,57,6600
1,61.8,59,6600
1,62.1,59,6600
1.31,61.4,59,6602
1.2,62.9,59,6602
1.31,62.2,57,6602
1.33,62,59,6603
1.05,60.8,57,6604
1.05,62.8,57,6604
1.2,60.2,58,6604
1.26,62.3,57,6604
1.05,61.9,56,6604
1.04,63.7,58,6606
1,62.4,59,6606
1.01,62.4,60,6606
1.01,56.7,61,6606
1.01,60.8,60,6606
1.01,62.5,58,6606
1.01,62.9,59,6606
1.21,61.9,60,6607
1.22,59,58,6607
1,62.9,55,6607
0.63,62.5,55,6607
1.25,60.4,57,6608
1.22,62.3,58,6608
1,61.7,56,6608
1,62.7,58,6608
1.37,62.8,57,6609
1.07,58.6,60,6610
1.03,61.3,56,6610
1.27,59.5,61,6611
1,62.1,57,6612
1.02,59.2,58,6612
1.01,61.1,56,6612
1.01,59.1,58,6613
1.01,62.2,53,6613
1.02,62,56,6613
1.01,57.7,63,6613
1.02,62.7,57,6614
1.33,59.9,60,6614
1.1,59.7,58,6616
1.31,62.1,56,6617
1.04,61.6,55,6617
1.09,60.9,57,6617
1.23,62.4,54,6617
1.01,62.3,59,6618
1.01,63.2,58,6618
1.01,62.8,59,6618
1.01,62.6,59,6618
1.01,61.8,57,6618
1.01,63.7,57,6618
1.01,61.2,57,6618
1.01,60.2,59,6618
1.01,62.7,58,6618
1.01,62.6,59,6618
1.01,61.4,58,6618
1,61.1,60,6619
1.2,61.7,56,6619
1.04,62.2,55,6619
1.14,61.2,58,6619
1.06,62.3,53,6619
1.21,60.3,60,6620
1.22,62,58,6620
1.1,61.6,54,6621
1.01,59.9,57,6622
1.02,62.4,58,6622
1.08,62.8,58,6623
1.08,63.1,57,6623
1.24,62.4,58,6625
1.01,61.8,57,6626
1.02,61.8,56,6626
1.36,61.9,59,6626
1.2,61.3,58,6626
1.06,62.7,55,6627
1.03,62.2,59,6628
1.03,60.7,58,6628
1.39,61.5,62,6628
1.14,62,54,6628
1.04,61.9,57,6628
1.21,62.1,56,6629
1.57,59.9,57,6629
1.51,63.1,60,6630
1.01,62.1,59,6630
1.1,61.7,56,6630
1.91,64.6,56,6632
1.02,59.9,56,6632
1.01,64.4,59,6632
1.04,61.1,56,6632
1.4,62.2,57,6633
1.27,61.7,57,6635
1.55,62.6,60,6635
1.69,62,56,6636
1.2,61,60,6636
1.03,62.2,55,6638
1.24,62.1,56,6639
1.2,62.5,55,6639
1.52,58.8,61,6639
1.54,62.4,59,6640
1.21,60.2,58,6640
1,61.9,59,6640
1,60.5,59,6640
1,62.4,57,6642
1.09,61.3,54,6643
1.13,62.7,57,6644
1.07,62.9,59,6644
1.07,62.5,57,6644
1.03,62.8,55,6645
1.38,62.1,60,6646
1.02,62.3,55,6648
1.02,61.7,56,6648
1.07,62.4,55,6648
1.01,60.6,55,6649
1.09,58.8,61,6651
1.01,61.7,61,6651
1.12,62,56,6652
1.2,62.8,54.5,6652
1.02,62.4,59,6652
0.91,62.3,59,6652
1.21,61.1,57,6653
2.25,67.7,58,6653
1.1,60.2,58,6653
1.32,60.3,60,6653
1.2,59.9,64,6653
1.04,63.9,55,6653
1.1,61.2,62,6653
1.2,61.8,56,6653
1.1,62,56,6653
1.1,60,57,6653
1.22,61.8,57,6654
1.27,63,60,6654
1.22,61.8,58,6656
1.26,61.3,58,6657
1.02,63.2,57,6659
1.03,63,56,6659
1.03,62.2,57,6659
1.53,64.7,58,6659
1.21,61.1,55,6659
1.21,60,60,6659
1.06,62.2,56,6660
1.32,60.6,60,6660
1.25,62.2,57,6661
1.22,63,59,6661
1.18,62.6,55,6661
1.03,61.7,56,6662
1.56,61.4,58,6662
1.56,62,57,6662
1.19,62.1,59,6662
1.03,63.9,59,6662
1.03,60.7,56,6662
1.06,62.8,54,6663
1.06,63.1,57,6663
1.01,60.9,57,6663
1.25,60.4,59,6664
1.26,62.2,58,6664
1,62.5,55,6664
1.23,63.1,56,6665
1.2,62.8,59,6666
1.01,61.9,55,6666
1.01,62.9,58,6666
1.01,62.7,57,6666
1.01,63.5,58,6666
1.01,63.4,60,6666
0.32,61.4,56,420
0.29,62.1,54,420
0.25,61.9,55,421
0.31,61.2,55,421
0.31,61.1,56,421
0.31,61.3,55,421
0.31,61,56,421
0.31,59.5,61,421
0.31,61.3,55,421
0.31,61.3,55,421
0.31,61.3,57,421
0.36,61.3,60,421
0.3,62.2,60,421
0.32,63.5,57,421
0.3,62.6,58,421
0.32,62.5,55,421
0.32,63.1,56,421
0.32,61.9,58,421
0.3,62.9,57,421
0.3,63.7,56,421
0.32,61.7,58,421
0.3,62.6,55,421
0.3,61.6,62,421
0.32,61.3,57,421
0.3,59.4,63,421
0.3,61.2,60,421
0.32,62.6,56,421
0.3,63.4,58,421
0.32,63.5,56,421
0.3,61.7,61,421
0.31,58.8,58,609
0.31,61.4,55,609
0.31,61.4,56,609
0.31,62.2,54,609
0.39,62.1,55,609
0.3,61.9,57,609
0.3,61.2,55,609
0.3,60.6,57,609
0.3,62.9,55,610
0.31,64,55,610
0.3,62.3,54.4,610
0.32,60.9,56,610
0.33,61.6,55,610
0.33,62.6,56,610
0.38,61.7,56,610
0.33,63,58,610
0.33,63,57,610
0.3,61.2,55,610
0.3,64.3,56,610
0.3,60.2,59,610
0.23,61.5,58,611
0.4,58.7,57,611
0.4,61.6,55,611
0.41,63.6,54,611
0.41,61.9,59,611
0.41,63.4,58,611
0.41,63.4,56,611
0.41,63.8,57,611
0.41,61.4,58,611
0.28,61.4,55,612
1.01,62,59,6666
1.01,60.4,58,6666
1.2,62,56,6666
1.2,60.6,58,6666
1.2,63.5,56,6666
1.06,61.1,57,6667
1.33,59.9,58,6668
1.06,59.1,58,6669
1.01,60.9,60,6669
1.04,63.1,57,6669
1.01,58.5,59,6670
1.25,62.3,57,6670
1.01,61.2,61,6670
1.01,62,56,6670
1.13,61.9,56,6670
1.45,62.8,57,6671
1.01,60.3,56,6672
1.01,62.4,56,6672
1.2,63.3,56,6672
1.21,62.9,58,6673
1.06,61.8,60,6673
1.01,60.3,59,6674
1.13,61.7,57,6674
0.8,60.8,56,6674
1.2,61.3,57,6675
1.31,62.7,57,6676
1.4,62.4,59,6677
1.18,62.7,55,6678
1.01,63.9,55,6679
0.9,61.5,56,6680
1.51,60.4,62,6680
1.14,63.2,58,6681
1.23,61.5,57,6681
1.13,62.2,55,6682
1.02,62.2,57,6683
1.12,62.3,59,6683
1.12,60.8,57,6683
1.02,61,58,6683
1.02,62,56,6683
1.02,62.2,56,6683
1.21,62.8,57,6684
1.07,62.3,57,6685
1.33,60.3,58,6685
1.24,60.2,60,6686
1.31,62.6,59,6686
2.01,64,56,6686
1.5,59.1,64,6687
0.9,61.2,56,6689
1.08,62,60,6689
1.21,61.5,56,6691
1.21,61.5,58,6691
1.04,62.1,57,6692
1,61.3,59,6692
1.04,62,55,6694
1.02,61.9,58,6694
1.39,62.1,57,6694
1.22,63,57,6695
1.01,60.4,57,6697
1.06,61.8,60,6698
1,60.6,63,6699
1,63.2,56,6701
1.28,59.9,59,6701
1.28,62.4,56,6701
1.57,62.1,60,6702
1,62.5,60,6702
1.01,60.8,57,6702
1.01,62.1,59,6702
1.2,61,59,6703
1.05,64.3,58,6703
1.22,62.4,57,6704
1.02,60.7,56,6704
1.08,61.3,56,6706
1.06,60.5,56,6707
1.01,61.6,59,6707
1.21,59.4,56,6708
1.1,62,59,6708
1.21,64.2,58,6708
1.08,58.9,58,6708
1.21,58.8,59,6708
1.04,60.1,59,6709
1.04,62.5,57,6709
1.04,61.8,58,6709
1.23,62.3,58,6710
1.2,63.3,59,6710
1.21,60.8,58,6710
1.21,61.5,58,6710
1.51,61.9,56,6712
1.2,61.8,56,6713
1.22,59.2,61,6713
1.11,60.8,58,6713
1.11,62.2,55,6713
1.11,59,59,6713
1.11,62.3,58,6713
1.01,63.6,59,6714
1.01,62.9,60,6714
1.3,61.7,56,6714
1.26,61,56,6715
1.06,62.3,58,6716
1.56,62.3,55,6716
1.5,64.8,58,6717
1.01,61,58,6719
1,62.8,60,6720
1,62.1,59,6720
1.5,58.3,61,6720
1.5,63,57,6720
1.2,64,59,6720
1,60.4,57,6720
1,61.6,57,6720
1,62.8,57,6720
1,61.5,58,6720
1,62.7,59,6720
1,60,60,6720
1,62.1,56,6720
1.2,58.5,61,6720
1.21,60.5,60,6722
1.28,62.8,57,6726
1.2,62.7,58,6727
1.43,50.8,60,6727
1.21,61.8,55,6727
1.22,62.2,54,6727
1,62.4,59,6727
1.56,61.8,57,6727
1.04,63.7,58,6727
1.06,61.9,55,6728
1.06,61.6,56,6728
1.24,60.4,59,6729
1.07,62,58,6730
1.07,58.6,60,6730
1.37,62.8,57,6730
1.5,58.5,60,6731
1,61.9,57,6732
1.02,58.4,57,6732
1.02,62.7,56,6732
1.01,60.6,56,6733
1.03,60.2,55,6733
1.26,63,59,6733
1.26,61.7,60,6733
1.01,61.1,56,6733
1.01,62.1,57,6734
1.01,61,56,6734
1.02,62.7,57,6734
1.02,64.6,59,6736
1.31,58.5,60,6737
1.11,62.5,54,6737
1.01,62.9,58,6738
1.02,63.3,58,6738
1.26,59.6,57,6738
1.2,61.7,56,6740
1.14,61.7,56,6741
1.2,62.2,58,6741
1.47,62.4,55,6742
1.2,62.5,56,6742
1.2,62.5,56,6742
1,62.2,58,6743
1.1,61.3,56,6743
1.18,58,59,6743
1.13,62.5,58,6743
1.21,62.1,60,6745
1,59.6,60,6745
1.5,59.4,62,6745
1.5,60.9,62,6746
1.21,63.3,58,6748
1,62.4,61,6748
1.03,60.7,58,6749
1.03,62.2,59,6749
1.18,62.6,54,6750
1.5,63.6,57,6750
1.5,61.4,61,6750
1.23,62.4,55,6750
1.23,61.7,55,6750
1.07,61.3,56,6751
1.03,62.4,56,6751
1.37,61,57,6751
1.41,62.9,59,6751
1.02,62.9,56,6752
2.03,65.6,56,6753
1.14,62.6,53,6753
1.24,59.4,58,6754
1.01,61.6,58,6754
1.35,61.8,54,6754
1.41,62.7,56,6754
1.34,61.8,59,6754
1.27,62.6,59,6755
1.16,61.9,55,6755
1.51,62.2,61,6756
1.69,62,56,6757
1.3,62.3,58,6758
1.11,61.2,57,6758
1.01,60.9,58,6759
1.01,63.8,57,6759
1.01,64.7,54,6759
1.29,63.2,57,6760
1.28,61.7,60,6762
1,62.6,58,6762
1.02,59.1,60,6762
1.29,60.7,58,6762
1.2,61.8,59,6762
1.22,62.6,57.4,6763
1.22,62.9,53.8,6763
1.47,62.5,59,6763
1.34,61.1,59,6763
1.04,58.6,59,6765
1.04,58.2,60,6766
1.05,61.8,58,6766
1.28,60.4,61,6766
1.16,62.6,58,6768
0.97,58.1,60,6768
1.08,60.3,59,6769
1.01,62.3,59,6770
1.5,63.3,57,6770
1.5,63.6,60,6770
1.01,64,56,6771
1.15,62.8,54,6772
1.01,62.9,54,6773
1.01,61.6,57,6773
1.51,62.8,59,6773
1.04,61.6,57,6773
1.02,62.4,59,6773
1.2,61,62,6774
1.12,60.7,53,6774
1.2,62.8,55,6774
1.12,62,56,6774
1.12,62.2,54,6774
1,63.1,56,6776
1.1,61.9,55,6776
1.22,61.8,57,6776
1,60.8,61,6776
1,63.5,57,6776
1.22,61.8,57,6776
1.01,61.1,58,6777
1.08,60.6,58,6777
1.01,58.8,58,6777
1.22,61.8,58,6777
1.07,61.9,58,6779
1.25,61.9,54.4,6779
1.38,59.2,59,6779
1.08,62,55,6779
1.07,61.2,55,6780
1.19,60.5,59,6781
1.37,63.4,61,6781
1.04,61.7,59,6782
1.25,63.7,58,6783
1.03,61.7,56,6783
1.25,62.2,57,6783
1.25,62.2,57,6783
1.21,62.7,56,6784
1.02,59.8,61,6785
1.02,61.3,59,6785
1.27,60.6,57,6785
1.03,62.2,57,6786
1.01,62,59,6787
1.01,61.9,55,6787
1.01,63.5,58,6787
1.01,60.4,58,6787
1.01,62.7,57,6787
1.01,63.4,60,6787
1.01,63.2,57,6787
1.01,63.1,58,6787
1.01,60.3,58,6787
1.01,62.9,58,6787
1.01,60.9,57,6787
1.01,61.9,55,6787
1.01,62.1,57,6787
1.65,62,59,6788
1.53,58.5,59,6788
1.15,62.4,56,6788
1.43,60.5,58,6789
1.33,59.9,58,6790
1.33,62.3,55,6791
1.52,61.7,61,6793
1.32,63.5,58,6793
1.07,61.8,57,6793
1.15,58.8,58,6793
1.03,60.7,57,6793
1.25,61.2,56,6793
1.2,65.2,56,6793
1.52,61.6,56,6793
1.01,63.3,58,6794
1.01,59,62,6794
1.01,62.4,56,6794
1.01,61.5,56,6794
1.01,60.3,56,6794
1.01,63.1,55,6795
1.02,62.3,56,6796
2,66.5,56,6796
1.02,64.6,58,6797
1.02,62.1,56,6797
1.02,62.1,55,6797
1.5,59.8,61,6798
1.11,61.1,57,6800
0.97,60.4,57,6801
1.05,61.6,58,6803
1.14,63.2,58,6803
1,62.6,57,6804
0.9,63.6,56,6804
1.35,62.8,60,6804
1.24,61.9,56,6805
1.55,62,56,6805
1.3,62.1,57,6806
1.3,62.2,59,6806
0.28,60.9,60,612
0.3,60.7,63,612
0.41,62.6,54,612
0.28,62.2,55,612
0.28,61.6,55,612
0.28,60.7,57,612
0.32,61.3,56,612
0.3,61.5,55,612
0.3,62.1,55,612
0.3,61.8,55,612
0.3,61.9,56,612
0.4,61.3,56,612
0.41,61.6,54,612
0.41,62,53,612
0.4,61.6,56,612
0.4,61.4,55,612
0.28,64.6,58,612
0.34,62,56,612
0.34,61.7,61,612
0.32,61.3,56,612
0.32,62,55,612
0.32,60.9,56,612
0.32,59.6,60,612
0.32,62.6,58,612
0.32,63,56,612
0.32,63.5,56,612
0.32,61.6,58,612
0.32,61,61,612
0.32,62.6,58,612
0.32,63.4,56,612
1.5,60.5,59,6806
1.01,60.5,60,6806
1.03,58.8,63,6806
0.96,61.1,56,6807
1.05,62.8,57,6808
1.24,60.2,60,6808
1.2,61,58,6809
1.06,61.3,57,6809
1.04,61.9,54,6809
1.03,61.4,58,6809
1.1,61.4,58,6810
1.32,62.1,57,6810
1.05,61.6,54,6810
1.52,62.4,59,6810
1.28,61.2,58,6811
1.58,63.2,57,6813
1.2,63.3,57,6814
1.04,63.4,59,6814
1.2,63.1,55,6814
1.2,62.5,57,6814
1.04,62,60,6814
1.34,62.4,57,6814
1.04,62.1,57,6814
1.17,64.5,56,6814
1.04,61.5,61,6814
1.02,62.5,57,6816
1.51,65.5,56,6816
2.17,55.6,62,6817
1.23,62.4,58,6817
1.23,62.4,58,6817
1,64.9,57,6818
1.06,59.8,58,6818
1,63.4,58,6818
1.51,63.1,60,6819
1.3,62.6,57,6819
1.19,61.1,58,6819
1.74,59.9,58,6821
1.13,59.8,61,6822
1,60.6,63,6822
1.31,62,59,6822
1.06,62.2,57,6823
1.01,59.9,59,6825
1.01,61.2,56,6825
1.23,61.2,59,6826
1.01,60.6,57,6826
1.09,62.5,59,6827
1.01,61,59,6827
1.07,57.6,60,6828
1.17,61.1,56,6828
1.32,63.7,56,6830
1.02,63.7,55,6830
0.9,62.3,56,6830
1.15,62.9,58,6831
1.39,60.9,57,6831
1.04,61.5,55,6831
1.05,61.8,55,6833
1.28,61.8,56,6833
1.2,63.3,59,6833
1.23,62.3,58,6833
1.21,60.7,57,6834
0.8,63.3,57,6834
1.11,61.4,57,6837
1.05,61.6,56,6837
1.1,61.6,56,6837
1.26,61,56,6837
1.28,61.6,57,6838
1.06,62.3,58,6838
1.5,65,57,6838
1.5,65,57,6838
1.24,61.4,59,6840
1,63.8,56.9,6841
1,61.1,61,6841
1.01,60.9,59,6843
1.01,63.9,59,6843
1.01,62.2,58,6843
1.01,63.4,55,6843
1.01,63,59,6843
1.01,61.4,58,6843
1.1,61.5,56,6844
1.01,62.5,56,6846
1.5,60.8,64,6846
1.71,63.7,57,6847
1.23,62.4,58,6848
1.03,59.6,61,6848
1.21,59.3,60,6849
1.09,61.8,55,6849
1.24,61.2,59,6850
1.51,63.5,58,6851
1.51,61.2,62,6851
1.51,59.4,59,6851
1.09,62.7,55.9,6852
1.06,62.2,55,6853
1.02,62.7,56,6854
1.02,58.4,57,6854
1.02,62.1,52,6854
2,63.9,58,6854
1.26,59.2,60,6855
1.01,61,56,6855
1.06,62.5,54,6856
1.08,62.4,55,6856
1.25,60.7,58,6856
1.09,62.5,56,6856
1.11,61.2,56,6857
1.02,62.1,58,6857
1.19,62,57,6857
1.31,57.9,62,6857
1.72,62,56,6857
1.27,60.1,58,6858
1.12,60.9,55,6858
1,61.7,54,6859
1.35,62.7,57,6860
2.32,70.5,55,6860
1,61.8,62,6860
1.21,63.6,58,6861
1.02,63.3,58,6861
1.11,62.7,59,6863
1.06,63,56,6863
1.02,60.3,56,6863
1.02,64.8,58,6863
1.03,62.3,56,6864
1.05,62.2,57,6865
1,59.4,59,6867
1.18,63.3,58,6867
1.24,62.3,54,6867
1,59.6,60,6868
1.2,62.5,59,6870
2.72,68.2,56,6870
1.21,59.5,65,6871
1,62.9,55,6871
1.21,63.3,58,6871
1,62,56,6871
0.9,62.6,59,6872
1.2,63.5,57,6872
1.09,61.4,56,6872
1.31,61.7,55,6873
1.26,63.2,61,6874
1.24,61.6,59,6874
1.24,59.7,59,6875
1,59,58,6875
1.21,62.2,54,6876
1.29,63,57,6877
1,62.6,56,6881
1.01,61.7,56,6882
1.01,63.8,57,6882
1.01,60.9,58,6882
1,62.1,60,6883
1.35,61.7,59,6884
1.08,61.8,55,6884
1.31,62.3,58,6885
1.07,60.6,61,6885
1.21,62,56,6887
1.21,60.1,57,6887
1.83,68,57,6887
1.22,62.9,54,6887
1.22,62.6,57,6887
1.22,61.8,59,6887
1.23,61.2,59,6888
1.5,62.3,58,6888
0.97,58.1,60,6889
1.41,62.3,55,6889
1.06,61.9,54,6890
1.04,58.2,60,6890
1.55,62.6,57,6890
1.13,62.7,56,6891
0.9,63.7,57,6892
1.21,60.4,58,6892
1.27,60.2,58,6892
1.42,60.1,65,6894
1.24,61,56.4,6895
1.16,61.9,57,6896
1.52,63.6,60,6897
1.6,61.8,57,6899
1,60.7,58,6899
1.01,59.2,61,6900
1.55,62.3,55,6901
1.03,62,57,6902
1.07,61.9,58,6903
1.34,61.6,56,6904
1.01,62.2,61,6905
1.01,60.4,58,6905
1.01,63.6,57,6905
1.09,62,54,6905
1.52,64.7,58,6905
1.02,60.5,60,6906
1.09,61,59,6906
1.21,63.7,59,6906
1.04,61.7,59,6906
1.01,62,56,6907
1.04,61.9,58,6908
1.02,59.8,61,6909
1.23,62.5,59,6909
1.02,63.4,54,6909
1,60.1,63,6910
1.02,62.8,57,6911
1.19,61.3,57,6911
1.01,61.8,59,6912
1.65,62,59,6912
1.03,62,54.8,6913
1.05,59.4,59,6914
1.51,63.2,58,6914
1.02,60,59,6915
1.04,60.8,58,6915
1.61,63.4,55,6915
1.26,62.3,58,6915
1.31,61.2,58,6917
1.07,61.8,57,6917
1.15,58.8,58,6917
1.12,62.3,57,6918
1.29,61.2,56,6918
1.31,62.4,61,6921
1.31,60,58,6921
1.26,60.6,56,6922
1.5,64.8,55,6922
1.03,62.3,56,6922
1.03,62.9,61,6922
1.03,61.2,54,6922
1.01,61.4,57,6923
1.12,62,58,6925
1.12,63.8,57,6925
1.14,61.9,53,6926
1,61.9,58,6927
1.73,62.6,57,6927
1.3,62.4,56,6928
1.15,62.9,56,6929
1.05,62.1,58,6930
1.03,61,58,6931
1.08,61.8,55,6931
1.3,62.2,59,6931
1.3,62.1,57,6931
1.22,62.5,59,6932
1.01,60.7,58,6932
1.01,63.6,60,6932
1.05,62.8,57,6933
1.09,62.4,57,6934
1.22,62.4,58,6934
1.51,61.2,56,6934
1.29,59.4,62,6935
1.51,64,58,6936
1.05,62,56,6936
1.05,61.6,58,6936
1.01,63.1,57,6936
1.28,61.2,58,6936
1,61.2,60,6937
1.19,57.4,60,6937
1.01,62.7,54,6937
1.1,60.9,56,6939
1.51,62.9,59,6942
1.15,63,57,6942
1.01,60.5,59,6944
1.25,60,56,6944
1.19,61.1,58,6944
1.06,60.2,57,6945
1.28,62.3,58,6946
1.06,62.2,57,6947
1.22,61.4,57,6947
1.1,60.3,62,6951
0.95,59.8,59,6951
1.09,62.5,59,6951
1.01,62.7,56,6951
1.01,62.4,58,6951
1.11,62.2,57,6953
1.16,62.1,57,6954
1.2,63.3,58,6955
1.04,60.5,57,6955
1.15,62.9,58,6955
1.01,62.6,59,6956
1.2,62.2,55,6956
1.01,61.4,57,6956
1,62.8,57,6957
1.23,62.4,61,6957
1.21,62.1,57,6958
1,58.2,60,6958
1.24,61.6,57,6958
1.18,62,56,6960
1.35,62.1,62,6961
1.08,62.5,54,6961
1.72,60.5,59,6962
1.12,61.6,56,6962
1.11,61.4,57,6962
1.24,61.7,59,6962
1.22,63.1,56,6962
1.11,62,58,6962
1.33,61.5,58,6963
1.33,63.7,56,6963
1.33,62.5,58,6963
1.21,62.3,58,6963
1.01,62.6,56,6964
1.24,61.4,59,6965
1.56,57.6,65,6966
1.55,62.3,54,6966
1.01,60.9,59,6968
1.01,61.3,57,6968
1.02,62,55,6968
1.2,61.1,56,6968
1.01,63.4,55,6968
1.01,63.9,59,6968
1.73,60.5,60,6968
1.01,62.2,58,6968
1.22,62.4,61,6969
1.39,63.8,55,6969
0.32,61.7,55,612
0.32,59.5,57,612
0.32,63.9,58,612
0.32,62.8,56,612
0.34,62.1,57,612
0.34,61.8,58,612
0.34,60.2,58,612
0.34,62.1,59,612
0.34,62.4,57,612
0.34,59.9,59,612
0.34,61.7,58,612
0.34,61.5,58,612
0.34,62.4,59,612
0.34,62.5,59,612
0.34,63.7,55,612
0.34,62.9,56,612
0.32,62.5,58,612
0.32,60.9,58,612
0.32,61.3,57,612
0.32,62.5,55,612
0.32,61.8,55,612
0.32,61.1,56,612
0.32,59.8,57,612
0.32,63.7,56,612
0.32,62.8,57,612
0.32,62.4,54,612
0.32,62.6,56,612
0.34,59.3,58,612
0.32,61.4,57,612
0.32,61.6,57,612
1.2,64,61,6969
1.22,61.9,60,6969
1.09,61.4,56,6970
1.71,63.7,54,6971
1.56,63,58,6971
1.1,60.2,56,6972
1.21,63.4,55,6973
1.2,62.7,58,6973
1.36,61.9,56,6973
1.02,62.7,58,6974
1.03,59.6,61,6974
1.21,59.3,60,6974
1.01,63.3,57,6975
1.51,61.2,62,6976
1.51,63.5,58,6976
1.51,63.4,60,6976
1.5,61.2,61,6979
1.45,62.6,58,6980
1.13,61.9,55,6980
1.13,61.8,57,6980
1.05,61.6,59,6981
1.03,61.3,57,6981
1.06,62.5,54,6981
1.52,63.1,61,6982
1.08,62.9,55,6982
1.08,62.7,56,6982
1.11,61.2,56,6982
1.1,61.5,57,6984
1.2,61.9,58,6985
1.5,62.5,58,6987
1.1,61.1,57,6987
1.5,62.7,58,6987
1.29,62.4,57,6987
1.41,61.1,56,6988
1,62.9,60,6989
1.23,62.1,57,6989
1,58.6,61,6989
1,61.5,55,6989
1.09,61.4,54,6990
1.58,60.7,60,6990
1.24,60.5,60,6994
1.01,62,57,6996
1.56,58.3,63,6996
1.4,62.5,57,6996
1.04,62,56,6996
1.01,62.1,58,6997
1.23,60.3,58,6997
1.07,60.9,55,6998
1.01,62.1,59,6998
1.31,61.7,55,6999
1.01,62.8,58,6999
1.01,59.8,56,6999
1.01,63.3,60,6999
1.01,61.3,58,6999
1.01,63.1,60,6999
1.24,61.6,59,7000
1.26,63.2,61,7000
1.01,60.6,56,7001
1.01,63.7,56,7001
1.01,65.9,54,7001
1.3,60.2,59,7002
1,61.2,57,7002
1.21,62.7,56,7002
1.06,62,58,7003
1.16,62.7,58,7003
1.27,61.4,59,7005
2.23,63.5,57,7006
0.91,61.1,61,7006
1.39,62.5,59,7006
1,63.8,60,7007
1.05,62.3,56,7010
1.01,61.9,57,7013
1.01,61.9,54,7014
1.04,61.4,57,7015
1.34,62.2,57,7016
1,56.5,63,7016
1.13,62.7,56,7016
1.01,60.8,59,7017
1.2,62,57,7018
1.51,62.3,62,7018
1.04,62.4,58,7019
2.11,67.6,57,7019
1.01,63.6,57,7021
1.1,59.4,60,7022
1.52,63.6,60,7022
1.27,60.8,57,7023
2.01,63.9,59,7024
1.05,62.6,58,7025
1.28,61.3,57,7025
2.05,56.9,58,7026
1,60.7,61,7026
1.02,62,57,7026
1.05,61.3,57,7027
1.05,61.7,57,7028
1.27,60.6,59,7031
1.01,60.4,58,7032
1.01,62.2,61,7032
1.15,63,60,7032
1.09,61,59,7032
1.51,62.3,58,7034
1.04,60.1,59,7035
1.29,62.1,55,7036
1.02,62.8,57,7037
1.01,61.1,58,7037
1.21,61.8,56,7037
1.05,62.5,56,7037
1.32,62.7,56,7037
1.19,61.3,57,7037
1.14,61.1,56,7038
1.01,62.2,56,7039
1.15,62.5,56,7040
1.04,60.8,58,7041
1.14,63.4,58,7042
1.14,61.5,57,7042
1.25,61.4,58,7042
1.04,61.3,57,7044
1.3,61.5,58,7044
1.04,61.1,59,7047
1.21,64.1,58,7047
1.21,60.5,57,7047
1.04,63.8,57,7049
1.04,61.8,58,7049
1.24,60.8,60,7050
1.12,63.8,57,7051
1.3,62.2,56,7054
1.11,61.5,58,7055
1.09,61.4,56,7055
1.02,61.4,57,7055
1.26,61.3,57,7056
1.5,64.7,59,7056
1,62,59,7056
1,59.2,60,7056
1,59.2,60,7056
1,62.7,55,7056
1.01,61.7,59,7056
1.05,62.1,58,7056
1.5,65.3,57,7056
1,61.7,55,7056
1.5,62.4,58,7056
1.5,62.2,61,7056
1.34,61.1,56,7058
1.01,59.1,55,7059
1.32,61.7,59,7059
1.14,62,55,7059
1.01,63.6,60,7059
1.22,62.5,59,7059
1.01,60.7,58,7059
1.01,62.5,59,7062
1.51,64,58,7062
1.05,61.6,58,7063
1.05,62,56,7063
1.03,61.6,55,7064
1.19,57.4,60,7064
1.13,61.4,56,7066
1.55,63.2,57,7066
1.55,63.2,57,7066
1.02,63.7,57,7068
1.7,62.6,54.1,7068
1.01,61.2,59,7068
1.07,61.8,55,7069
2.25,64.9,58,7069
1.05,62.2,54,7070
1,59,59,7072
1.2,62.5,60,7072
1.62,61.6,60,7072
1.2,62.8,57,7072
1.2,61.2,59,7072
1.16,62.3,57,7074
1.16,59.9,60,7074
1.1,62.5,54,7074
1.2,62.3,55,7074
1.06,61,57,7075
1.17,63.2,57,7076
1.08,64.7,60,7076
1.5,59.6,59,7076
1.02,61.1,56,7077
1.02,62,55,7078
1.09,60.5,57,7078
1.06,61,60,7079
1.32,60.8,57,7079
1.01,62.5,60,7079
1.2,62.9,55,7079
1.14,61.8,56,7079
1.14,61.6,56,7079
1.14,61.5,55,7079
1.14,60.9,57,7079
1.32,61.6,56,7079
1.08,62.8,59,7079
1.14,61.4,60,7079
1.2,62.6,56,7080
1.29,62.9,57,7080
1.59,65.2,58,7080
1.09,62.4,55,7081
1,55.9,60,7083
1,64.1,62,7084
1.4,61.2,56,7084
